timestamp,message_type,user_id,nickname,content,user_level,giver_id,giver_nickname,gift_name,combo_count,receiver_id,receiver_nickname,like_count,like_total,member_count,follow_count,display_short,display_middle,display_long,room_total
2025-09-16T21:28:33.371552,enter,MS4wLjABAAAAJKlQa50yDHUSUf22QLFeg__siXZSSQyUxrYbfu4bVUQ,路过的风,,,,,,,,,,,376250,,,,,
2025-09-16T21:28:33.371676,gift,,,,,MS4wLjABAAAAQYBfbdWp4tBOH30TlUSWUnFjeOpKAme5WjkekCvYLXI,胖哥666,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:33.371784,enter,MS4wLjABAAAAeCBnQ9XopVL6980o46cTRP-nHE8csl8AjsghsPZNiZk,谈笑间五谷渔粉,,,,,,,,,,,375453,,,,,
2025-09-16T21:28:33.371889,gift,,,,,MS4wLjABAAAA67ol0fKUjLSGGUBQyBUhuQoTeMN7Tr-vQtPZKDryEi0,专业高铁高速电缆沟路面,你最好看,1,,,,,,,,,,
2025-09-16T21:28:33.374400,enter,MS4wLjABAAAAOXVZZme5eVkZjgfijaHkX9ug2hQapFWuGI2REPeg7po,用户4947506260335,,,,,,,,,,,375453,,,,,
2025-09-16T21:28:33.374446,gift,,,,,MS4wLjABAAAAESCWhYyPNhTgXPJtOR-cB2JS1R68xKA5rVZ1HztvNggHI-TrWPDHo1oMbCxncOZa,家有仨娃,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:33.374474,enter,MS4wLjABAAAAYuHeZicH4T26NkWdu3qFJS0Y3-_PPT2OxUNaPTiRYMk,燕窝山庄,,,,,,,,,,,378843,,,,,
2025-09-16T21:28:33.975051,gift,,,,,MS4wLjABAAAAwKtk3eto7aUXK23ZwEl0-WqsOJ9xpc30tSnAaBnTvN0,柔情💐似水🥀4457,小心心,65,,,,,,,,,,
2025-09-16T21:28:33.975239,gift,,,,,MS4wLjABAAAAhpnzAPDTEjuWJB4Or5TUaRTJIJwk0c0zS8HbCPMJ0PY,我还是曾经那个少年。,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:33.975284,gift,,,,,MS4wLjABAAAAa5xZnDgGX3bUOo_PFGiC5TQQLCm2rE8_3439L1esLyk,完美的每一天797,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:33.975316,gift,,,,,MS4wLjABAAAAehRjvKddfv-Mjh_-T3OT-KIVsRHAktEIbeMw-RJsKr7uoOEOkFaaysMEN-wLFAIt,港姐朱朱¹⁰¹⁷,小心心,506,,,,,,,,,,
2025-09-16T21:28:33.975343,message,MS4wLjABAAAAEkQOClu0UmPQ3K6BR9euILoaw8-Nkws1vjgb1Ctu0QY,.。,车车唱空心,,,,,,,,,,,,,,,
2025-09-16T21:28:33.975371,gift,,,,,MS4wLjABAAAACFI8pY46is5YUc3w6fXm54ffDNigzSOSTKFXfRcpQGs,泸西不倒翁瓷砖（然然）,人气票,9,,,,,,,,,,
2025-09-16T21:28:33.975392,message,MS4wLjABAAAAJwJD1EBw4MCYYlKm_R2L0QnoAKItVwJ-sS-RhLu5VPI,闫姐,大美女唱歌也甜蜜,,,,,,,,,,,,,,,
2025-09-16T21:28:33.976918,message,MS4wLjABAAAAKw8dC_ntRXmfq1O3wW0OImZ4ovWN9Gd9cS6gktyij1Q,优娱,好听[赞],,,,,,,,,,,,,,,
2025-09-16T21:28:33.976953,gift,,,,,MS4wLjABAAAA9PUH12hOBYghQNV5o4hdvFPNJ7G1s5k9Bw3l8eUfjIe0eTyF--iBZzyVmaO3ZZiZ,友情爱情,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:33.976987,gift,,,,,MS4wLjABAAAAK_pO_Wqo9lHTC742vzI1Y0a_6tknUK-rmF2Qay-jXWQ,啊祥,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:33.977015,message,MS4wLjABAAAA9xDWNVBDN8KYO-hc2cVqaG1nmVDxxMOGUx4YGRCPLCU,阿锋,这种歌能比赛吗,,,,,,,,,,,,,,,
2025-09-16T21:28:33.977047,follow,MS4wLjABAAAAoxMZlZkvuf79QH5gzwYF5DPLJtnqYB8tTQvcFwGd2jA,晨,,,,,,,,,,,,33163435,,,,
2025-09-16T21:28:34.582716,enter,MS4wLjABAAAAcZl8wLJQ9Db9lNDCtFiILmwclHaiNxbYVVMQu9WBmo0,爱的抱抱,,,,,,,,,,,374178,,,,,
2025-09-16T21:28:34.582760,enter,MS4wLjABAAAAb2riaWRmIfy9VbDxchYxmz3WKPaxhBcwj4B9Sk3h03U,❤～虎子,,,,,,,,,,,376250,,,,,
2025-09-16T21:28:34.582809,gift,,,,,MS4wLjABAAAAehRjvKddfv-Mjh_-T3OT-KIVsRHAktEIbeMw-RJsKr7uoOEOkFaaysMEN-wLFAIt,港姐朱朱¹⁰¹⁷,小心心,507,,,,,,,,,,
2025-09-16T21:28:34.582840,gift,,,,,MS4wLjABAAAAoPKnEt5qZv-g7NclVWdCHcZ0xV4A2HCio4ubPQ8pkVo,汉子男,为你闪耀,1,,,,,,,,,,
2025-09-16T21:28:34.582860,enter,MS4wLjABAAAAfaQiKmSdn2W7nMbFWjn7JGJiGKxM_rXwciP8fomWavI,义博-系统剪发教学（丝月）,,,,,,,,,,,378843,,,,,
2025-09-16T21:28:34.584208,gift,,,,,MS4wLjABAAAAJX7L4rwMdoqHOlmhnniy-hLvNg5Xr5gR6eRiiL9hhY0,龙先生,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:34.584303,gift,,,,,MS4wLjABAAAABOLTgG3IXBI8RodDXLfHH0_ZA9t_a2j6WUdCaUAXLYH8Vu2LwH_r_Z8rrmpATrPS,流浪,棒棒糖,1,,,,,,,,,,
2025-09-16T21:28:34.584365,enter,MS4wLjABAAAAqg4ZO8DF81_Qm-0oVuXRNttIqsP5QX8_3jz8_DRAbG4,坏脾气💪,,,,,,,,,,,374178,,,,,
2025-09-16T21:28:34.584419,enter,MS4wLjABAAAAqfWQ_ADalSWyuhKrA-Q9BT46IPx1uv8AmJEAK1mFvbc,上善若水,,,,,,,,,,,377035,,,,,
2025-09-16T21:28:34.584751,gift,,,,,MS4wLjABAAAARk-Q-OCF72p5li1Bsq0ePCV6T4hGcoqZR5NwCjwqI_s,濞焱 消失,人气票,940,,,,,,,,,,
2025-09-16T21:28:34.584859,message,MS4wLjABAAAAP5K0tUY3_8zNCRMHEsuHWxsd_VfPU1VNAiA7vAPwlMg,๓♡🐰筱,这女的长得漂亮,,,,,,,,,,,,,,,
2025-09-16T21:28:34.584980,gift,,,,,MS4wLjABAAAAr_5RVyeSG_FF2fP4UYJZjw0ejxL2ZaC5YQRH52DFyAU,相信自己，永不言败,小心心,5,,,,,,,,,,
2025-09-16T21:28:34.585007,message,MS4wLjABAAAAto7XTZsnS062c5i2LHVELLe2cuPtPqk05jN1O2l-ID8,3分增长二十分,帮你，3分延时15分,,,,,,,,,,,,,,,
